,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
19,0.8084939479827881,0.053258738262826656,0.03448266983032226,0.00631465162373334,2,15,500,"{'max_depth': 2, 'max_features': 15, 'n_estimators': 500}",0.6458333333333334,0.6421052631578947,0.7578947368421053,0.6736842105263158,0.7263157894736842,0.6891666666666667,0.045685588277928534,367
20,1.9977594852447509,0.8629892198286105,0.062488651275634764,0.013952167379848309,2,15,1000,"{'max_depth': 2, 'max_features': 15, 'n_estimators': 1000}",0.6354166666666666,0.6421052631578947,0.7684210526315789,0.6736842105263158,0.7157894736842105,0.6870833333333334,0.049622323217747705,369
21,0.02074732780456543,0.0008319007793477832,0.004563426971435547,0.00027022558228058006,2,20,10,"{'max_depth': 2, 'max_features': 20, 'n_estimators': 10}",0.625,0.631578947368421,0.7368421052631579,0.6526315789473685,0.7157894736842105,0.6723684210526316,0.045473806042721776,382
22,0.03714737892150879,0.0025679619883278012,0.00520777702331543,0.0004258118711525564,2,20,20,"{'max_depth': 2, 'max_features': 20, 'n_estimators': 20}",0.6041666666666666,0.6210526315789474,0.7157894736842105,0.6526315789473685,0.7052631578947368,0.659780701754386,0.04438362451356949,387
23,0.08333940505981445,0.0021366903350775873,0.007354545593261719,0.0014419209337995249,2,20,50,"{'max_depth': 2, 'max_features': 20, 'n_estimators': 50}",0.6145833333333334,0.6736842105263158,0.7368421052631579,0.6842105263157895,0.7368421052631579,0.6892324561403509,0.045547374536602986,365
24,0.16336374282836913,0.007363180325462939,0.009861326217651368,0.0005887699498706516,2,20,100,"{'max_depth': 2, 'max_features': 20, 'n_estimators': 100}",0.6770833333333334,0.6736842105263158,0.7473684210526316,0.7263157894736842,0.6947368421052632,0.7038377192982457,0.02866371524886938,351
25,0.32104692459106443,0.004002274624285245,0.015305328369140624,0.0008780522391449413,2,20,200,"{'max_depth': 2, 'max_features': 20, 'n_estimators': 200}",0.6666666666666666,0.6631578947368421,0.7473684210526316,0.7157894736842105,0.7368421052631579,0.7059649122807017,0.0350455887415685,347
26,1.113051176071167,0.19179099475835665,0.04178333282470703,0.00866559970247866,2,20,500,"{'max_depth': 2, 'max_features': 20, 'n_estimators': 500}",0.6875,0.6842105263157895,0.7578947368421053,0.7052631578947368,0.7368421052631579,0.7143421052631579,0.028684210526315788,334
27,1.5753369331359863,0.010620482923352784,0.05681519508361817,0.0022377560563265767,2,20,1000,"{'max_depth': 2, 'max_features': 20, 'n_estimators': 1000}",0.6458333333333334,0.6736842105263158,0.7684210526315789,0.6947368421052632,0.7052631578947368,0.6975877192982456,0.04082718498193063,353
28,0.023421382904052733,0.0021955238301819275,0.005086708068847656,0.0010814934955110272,2,25,10,"{'max_depth': 2, 'max_features': 25, 'n_estimators': 10}",0.6875,0.6736842105263158,0.7473684210526316,0.6631578947368421,0.7157894736842105,0.6975,0.03055466016203959,354
